Newspaper,Country,Place,Headline,Article
Times Of India,India,New Delhi,"The US on Thursday reaffirmed its commitment to help India join the Nuclear Suppliers Group (NSG), reported news agency ANI.
  ","""We are working with partners to secure India's Nuclear Suppliers Group membership,"" said Kenneth Juster, the American ambassador to India, in his inaugural policy speech.
     It is noteworthy that Juster went on to describe India as a ""leading power"" in the Indo-Pacific region.
     ""India is a leading power in the Indo-Pacific region and beyond. For India and the US, Indo-Pacific is vital for the security and prosperity of our people as well as others. Together we want to ensure a free and open region, where rule of law and democratic principles are reflected,"" he said.
     ""We want to promote respect for sovereignty and territorial integrity, guarantee freedom of navigation over flight and commerce and other lawful uses of the sea, ensure territorial and maritime disputes are resolved peacefully consistent with international laws,"" he added.
     Juster was at pains to clarify that 'America First' and 'Make in India' were ""not incompatible."" Instead, he said, the two had the potential to be ""mutually beneficial, increase economic interactions and volume of trade.""
     In fact, he went as far as to suggest that India emerge an as ""alternative hub"" to China for US businesses in the region.
     He also echoed President Donald Trump's belief that India play a bigger role in Afghanistan, even as he stressed that the situation would not improve till ""Pakistan does not contribute positively.""
     ""(There are a) Few areas of collaboration. One is Afghanistan, where we both have a strong interest in promoting peace, security and prosperity. Our leaders are committed to supporting Afghanistan and helping build that country's democratic institutions. Pakistan is also important to the situation in Afghanistan. I don't think we are going to get stability and security in Afghanistan if Pakistan does not contribute positively to that,"" he said.
     He reaffirmed the American position that the leaders of Pakistan had not ""done all that they could"" to rid it of safe havens for terror, and this had led to suspension of security assistance.
     ""President Trump and other US leaders have been clear that we will not tolerate cross-border terrorism or terrorist safe havens anywhere. As part of this effort, last month we launched the first-ever US-India Counter-Terrorism Designations Dialogue,"" he added.
     Juster also attempted to ease worries about the immigration issue in the US, that came to the fore with last year's Presidential election in the country.
     ""US is probably as open a country as any in the world and we probably take more immigrants per year compared to any other country. We are a country of immigrants and that has helped drive our economy, made us what we are. That is not going to change,"" he said.
"
Times Of India,India,New Delhi,"After China put up a virtually permanent roadblock for proscribing Masood Azhar by the UNSC, India and US are mulling options for their next steps.
  ","In December, Indian and US officials will meet for the first time for a dialogue on coordinating terrorist designations by both countries. The two sides will discuss options of keeping terrorists and terror groups like Jaish-e-Muhammad under pressure.
     This will include discussions on the next terrorist that will be put up for sanctions by the UNSC's 1267 committee.
     The new consultation mechanism was decided during the Modi-Trump summit this summer. In the joint statement that followed the summit, both sides, ""committed to strengthen cooperation against terrorist threats from groups including al-Qaida, ISIS, JeM, Lashkar-e-Taiba, D-Company, and their affiliates. ... the leaders welcomed a new consultation mechanism on domestic and international terrorist designations listing proposals.""
     For instance, Abdul Rauf Asghar, Masood Azhar's brother, may find his name on the next list for sanctions. He was charged in the Pathankot terror attack. Azhar's second brother, Maulana Ibrahim Athar Alvi is accused of masterminding the IC-814 hijack which forced India to release Azhar from jail in return for the passengers of the jet.
     India has a list of other terror leaders operating with the support of Pakistan's military-intelligence establishment, who India wants to put up on the 1267 committee.
     India wants China to continue to shield Pakistan at the multilateral level — if Beijing blocks sanctions against deadly terrorists repeatedly, it could succeed in painting itself as a supporter of global terrorism. Chinese officials reportedly expressed confidence that they would not be pressured on Azhar by the US given the US needed their support on keeping an increasingly hostile North Korea in check. China's decision came even as Beijing itself demanded extra security from Pakistan for its new envoy from ETIM terrorists — many of them trained in Pakistan.
     The joint statement added that India and United States would work together to ""prevent terrorist travel and to disrupt global recruitment efforts by expanding intelligence-sharing and operational-level counterterrorism cooperation.""
     As part of the travel vetting programmesin both countries, India and US had also decided to exchange information on ""known and suspected terrorists for travel screening."" The likes of David Headley, who conducted numerous reconnaissance trips to India to prepare for the 2008 Mumbai terror attacks, could appear on the Indian security radar.
  
"
Times Of India,India,United Nations,India to UNSC: Focus on eliminating terror safe havens in Pakistan,"Pakistan needs to change its ""mindset"" of differentiating between good and bad terrorists, India said at the UN Security Council, urging it to focus on challenges posed by terrorism emanating from the safe havens from across the border.  
  
  Indian Ambassador to the UN Syed Akbaruddin told the Security Council that it is India's vision to see Afghanistan regain its place.
     He added that New Delhi remain committed to work closely with its regional and international partners to bring peace, security, stability and prosperity in Afghanistan.
     Earlier, the US told the UN Security Council that the status quo regarding terrorist safe havens in Pakistan is not acceptable.
   The US had said+
  that the status quo regarding continued terror safe havens in Pakistan is not acceptable and insisted that Islamabad join its efforts to bring a resolution to the conflict.
   
UN chief calls for 'balance of power' in UNSC    ""We seek to work cohesively and effectively with Pakistan, but cannot be successful if the status quo, one where terrorist organisations are given sanctuary inside the country's borders, is allowed to continue,"" US deputy secretary of state John Sullivan told the ministerial meeting.
     Afghan deputy foreign minister Hekmat Khalil Karzai too reiterated the presence of terrorist safe haven in Pakistan.
     Meanwhile, Pakistan continued to be in denial.
     Permanent Representative of Pakistan to the UN Maleeha Lodhi, responding to the Indian ambassador,
  raked up the case of Jadhav+
  , who was captured in March last year and sentenced to death by a Pakistani military court for alleged spying, an accusation that India has dismissed as concocted.
     ""Those who talk of changing mindset need to look within, at their own record of subversion against my country as our capture of an Indian spy has proven beyond doubt,"" Lodhi told the members of the UN Security Council, without naming Jadhav.
"
Times Of India,India,Washington,Kenneth Juster sworn in as US ambassador to India,"Kenneth Juster has been sworn in as the US ambassador to India with Vice President Mike Pence voicing confidence that he will build an even stronger partnership that will benefit both countries and their people.
  
  
  Juster replaces Indian-American Richard Verma as the top American diplomat to India.
     The position has been lying vacant since January 20 after Verma resigned from the post after the swearing in of Donald Trump as the 45th President of the US.
     His nomination was confirmed by the US Senate unanimously on November 2. Juster founded and served as the US Chair of the US-India high technology cooperation group, and was one of the key architects of the 'next steps in strategic partnership initiative' between the US and India.
     ""Congrats, Ken Juster, the new US ambassador to India!"" Vice President Mike Pence said in a tweet after administering the oath of office to him on Monday.
     ""The ties between the United States and India run deep, and @POTUS &amp; I are confident that with his leadership, integrity &amp; experience, Ken will build an even stronger partnership that will benefit our nation &amp; our people,"" Pence said.
    
Congrats, Ken Juster, the new U.S Ambassador to India! The ties between the United States and India run deep.
        — Vice President Mike Pence . An old India hand, Juster, 62, is expected to be headed for India soon so as to prepare for the successful visit of Ivanka Trump to Hyderabad later this month.
     Ivanka, US President Donald Trump's daughter and his senior presidential advisor, will be leading a high-powered delegation of American officials and entrepreneurs to attend the Global Entrepreneur Summit being hosted by India in Hyderabad this month.
     Juster's work related to India played an important role in the transformation of the US-India relationship and helped provide the foundation for the historic civil nuclear agreement between the two countries.
     Most recently, Juster had served as the deputy assistant to the President for international economic affairs and Deputy Director of the National Economic Council.
     Juster played a key role in enhancing the Indo-US ties under the the George W Bush administration.
     Juster has also served as the Counsellor (acting) of the State Department from 1992-1993, and deputy and senior adviser to the deputy secretary of state from 1989-1992.
     In the private sector, he has been a partner at the investment firm Warburg Pincus LLC, executive vice president at Salesforce.com, and senior partner at the law firm Arnold &amp; Porter.
     He has also served as chairman of Harvard University's Weatherhead Centre for International Affairs, and as vice chairman of The Asia Foundation.
     Juster holds a law degree from the Harvard Law School, a masters degree in Public Policy from the John F Kennedy School of Government at Harvard, and a bachelors degree in government from Harvard College.
     During his confirmation hearing in October, Juster told lawmakers that India and the US share common values and a commitment to democracy, pluralism and the rule of law.
     ""The administration firmly believes that a strong India and a strong US-India relationship are in America's interest. India's role in the Indo-Pacific region and globally will be critical to international security and the economic growth over the course of this century,"" he said.
"
Times Of India,India,New Delhi,American shutdown: Flights from India to US not affected,"Despite the ripple effect of the United States shut down across the world, no flights from India to America had been cancelled, according to sources.
  
  
  Though travellers were not impacted immediately, industry players said that if the government shutdown was prolonged, it would have an effect in the near future.
     ""The US government shutdown will have no impact on those travelling from India. Airlines are functioning as per their schedules, the air traffic control, immigration and customs services which are deemed as essential services are not covered by the shutdown,"" said Karan Anand, Head of Relationships at Cox &amp; Kings.
     ""The government shutdown could impact travellers planning a trip to the US in the foreseeable future,"" said Sharat Dhall, COO(B2C) at Yatra.com, adding that ""while there will be a miniscule impact on air traffic controllers, visa processing will certainly face some delay. Also, passport processing for the US citizens visiting India or other foreign nations might also get delayed.""
     The US government began shutting down on Saturday, putting thousands of workers on unpaid leave after the Senate failed to pass a stopgap budget.
   Air India has not cancelled or postponed any flights to the US, a source familiar with the matter said. Air India flies to four US cities daily -- San Francisco, Chicago, Washington and New York, In New York, it flies to two airports Newark and John F. Kennedy.
     The shutdown marked the first anniversary of President Donald Trump's inauguration.
     It is the first shutdown in US history to happen while the same ruling party controlled both House of Congress and the Senate.
     Despite last-minute bipartisan meetings, the bill to fund the government until February 16, did not receive the required number of 60 votes in the senate.
     The budget proposal presented by the Republicans on Friday night got more votes in favour (50) than against (48), but they were insufficient to approve funds. Four Republicans voted against the bill while five Democrats broke rank to support it.
"
Times Of India,India,Panaji,"""India ties are independent of US-Pak ties""","US consul general in Mumbai Edgard Kagan on Friday said Indo-US relations were independent of US ties with Pakistan. ""It is in our interest to have good relations with India,"" Kagan said, adding ""In the longer term what I would like to see is more de-linking of the two issues. We want the relationship with India to stand on its own regardless of what happens with Pakistan."" He said the Trump administration's stance on Pakistan was driven by a goal to stop cross-border terrorism.
"
Times Of India,India,Washington,Senate confirms Kenneth Juster as US Ambassador to India,"The Senate on Thursday confirmed by a voice vote the nomination of Kenneth Juster as the next US Ambassador to India.
  
  
  Juster, 62, is an old India hand who played a key role in the landmark Indo-US civil nuclear deal.
     He would replace Richard Verma as the top American diplomat to India. The position has been lying vacant since January 20 after Verma resigned from the post with the swearing in of Donald Trump as the 45th President of the United States.
     The latest development follows Juster's nomination confirmation which was on last Friday agreed by the powerful Senate Foreign Relations Committee by a voice vote, reflecting the bipartisan support his nomination has in the Congress.
     Juster is soon expected to be headed to India for the Global Entrepreneurship Summit (GES) in Hyderabad later this month. The annual summit is being co-hosted by India and the United States.
     Trump's senior adviser and daughter Ivanka Trump will be leading a high-powered American delegation of entrepreneurs to the GES, which will be inaugurated by Prime Minister Narendra Modi.
     Powerful Democratic Senator Mark Warner welcomed the Senate confirmation of Juster.
     ""I was proud to support Ken's nomination to be our country's representative in India, one of our most important defence partners in the region,"" he said.
     ""I have known Ken since we were in law school in the 1970s. As Ambassador, I trust his decades of work on critical issues like trade, cybersecurity and defence will help advance the US-India relationship in a positive direction,"" Warner said.
     Juster was nominated to be the Ambassador to India on September 5. He has over 35 years of experience as a senior business executive, senior law partner, and senior government official, including serving as the US Under Secretary of Commerce from 2001 to 2005.
     Juster founded and served as the US Chair of the US-India High Technology Cooperation Group, and was one of the key architects of the Next Steps in Strategic Partnership initiative between the United States and India.
     His work related to India played an important role in the transformation of the US-India relationship and helped provide the foundation for the historic civil nuclear agreement between the two countries.
     Most recently, Juster had served as the Deputy Assistant to the President for International Economic Affairs and Deputy Director of the National Economic Council.
     Juster played a key role in enhancing the Indo-US ties under the Bush administration.
     Juster has also served as the Counsellor (acting) of the State Department from 1992-1993, and deputy and senior adviser to the Deputy Secretary of State from 1989-1992.
     In the private sector, he has been a partner at the investment firm Warburg Pincus LLC, Executive Vice President at Salesforce.com, and senior partner at the law firm Arnold and Porter.
     He has also served as Chairman of Harvard University's Weatherhead Center for International Affairs, and as Vice Chairman of The Asia Foundation.
     Juster holds a law degree from the Harvard Law School, a masters degree in Public Policy from the John F Kennedy School of Government at Harvard, and a bachelors degree in Government from Harvard College.
"
Times Of India,India,Washington,US hails India's aid contribution to Afghanistan,"India has contributed a great deal in terms of developmental aid to Afghanistan, the Pentagon said on Thursday, adding that the US wants to work with India in the region.
  
  
  ""We're excited about the opportunities for India to participate in the South Asia strategy, and how we secure that region. They're an important player and in 2018 we look forward to doing more with them,"" Pentagon chief spokesperson Dana White said at a news conference.
     ""India has contributed a great deal in terms of developmental aid in Afghanistan,"" White said.
     He also said Pakistan has the ability to address terrorist threats inside the country.
     The US reaction comes days after Pakistan's defence minister said his country had suspended military and intelligence co-operation with the US in retaliation for the latter's decision to freeze all security assistance.
     ""We believe that Pakistan has the ability to address this threat,"" White said.
     ""This is an opportunity for them to take decisive action, and we look forward to working with them to encourage them to do so,"" he said in response to a question on recent developments in US-Pak relations.
"
Times Of India,India,Washington,"""India, US '2+2' ministerial dialogue likely this spring""","The inaugural 2+2 India-US ministerial dialogue between the defence and external affairs ministers is likely to take place here this spring, a top American diplomat has said.
  
  
  The '2+2' dialogue was announced in June last year after a White House meeting between Prime Minister Narendra Modi and US President Donald Trump.
     Trump and Modi agreed to enhance peace and stability in the India-Pacific region by establishing a new two-by-two ministerial dialogue, which would elevate their strategic consultations, the White House had said.
     External Affairs Minister Sushma Swaraj and Defence Minister Nirmala Sitharaman will hold talks with their American counterparts Secretary of State Rex Tillerson and Defence Secretary Jim Mattis.
     ""We expect to launch our inaugural '2+2' dialogue with India in Washington this spring, when Secretary Tillerson and Secretary Mattis will meet with their Indian counterparts to further deepen our security ties,"" Deputy Secretary of State John Sullivan told members of the Senate Foreign Relations Committee during a hearing on Afghanistan yesterday.
     However, the date of the meeting was not immediately known.
"
Times Of India,India,Washington,India-US trade estimated to touch $140 billion in 2017: USISPF,"Trade between India and the US is estimated to have jumped substantially from $118 billion in 2016 to $140 billion in 2017, according to an advocacy group that aims to promote bilateral trade.
  
  
  In 2016, India was the ninth largest trading partner of the US and one of the major countries with which America has had trade deficit of more than $30 billion. This is expected to continue in 2017 as well, an issue which has repeatedly been raised by President Donald Trump and his top officials in their interaction with their Indian counterpart.
     ""We estimate that in 2017 India's trade (with the US) has gone up from $118 billion (the previous year) to $140 billion,"" Mukesh Aghi, president of the US India Strategic and Partnership Forum (USISPF) told PTI in an interview.
     Official figures of annual bilateral trade are yet to come, but the USISPF estimates are based on its own research and surveys.
     India, Aghi said, has proactively started working on addressing the issue of trade deficit with India.
     ""India roughly has a thousand plane orders with US companies. That will start bringing trade imbalance in the right direction. India, last year bought $2 billion worth of energy from the US. India spends roughly $80 billion dollars acquiring energy. And I think a lot of that will start moving to the US,"" he said.
     ""I think next five years, you will see a little more balance in the trade between two countries,"" Aghi said.
     India and the US have set a goal of increasing the bilateral trade to $500 billion a year.
     ""I think it (bilateral trade) is moving,"" he said.
     Overall, the relationship between India and the US is moving in a right direction.
"
